tc,q,pl,pf,pk,lntc,lnq,lnpf,lnpk,lnpl
.082,2,2.1,17.9,183,-2.501036,.6931472,2.884801,5.209486,.7419373
.661,3,2.1,35.1,174,-.4140014,1.098612,3.558201,5.159055,.7419373
.99,4,2.1,35.1,171,-.0100503,1.386294,3.558201,5.141664,.7419373
.315,4,1.8,32.2,166,-1.155183,1.386294,3.471967,5.111988,.5877866
.197,5,2.1,28.6,233,-1.624552,1.609438,3.353407,5.451038,.7419373
.098,9,2.1,28.6,195,-2.322788,2.197225,3.353407,5.273,.7419373
.949,11,2,35.5,206,-.0523465,2.397895,3.569533,5.327876,.6931472
.675,13,2.1,35.1,150,-.3930426,2.564949,3.558201,5.010635,.7419373
.525,13,2.2,29.1,155,-.6443571,2.564949,3.370738,5.043425,.7884574
.501,22,1.7,15,188,-.6911492,3.091043,2.70805,5.236442,.5306283
1.194,25,2.1,17.9,170,.177309,3.218876,2.884801,5.135798,.7419373
.67,25,1.7,39.7,167,-.4004775,3.218876,3.681351,5.117994,.5306283
.349,35,1.8,22.6,213,-1.052683,3.555348,3.11795,5.361292,.5877866
.423,39,2.3,23.6,164,-.8603831,3.663562,3.161247,5.099866,.8329091
.501,43,1.8,42.8,170,-.6911492,3.7612,3.756538,5.135798,.5877866
.55,63,1.8,10.3,161,-.597837,4.143135,2.332144,5.081404,.5877866
.795,68,2,35.5,210,-.2294131,4.219508,3.569533,5.347107,.6931472
.664,81,2.3,28.5,158,-.4094732,4.394449,3.349904,5.062595,.8329091
.705,84,2.2,29.1,156,-.3495575,4.430817,3.370738,5.049856,.7884574
.903,73,1.8,42.8,176,-.1020327,4.29046,3.756538,5.170484,.5877866
1.504,99,2.2,36.2,170,.4081282,4.59512,3.589059,5.135798,.7884574
1.615,101,1.7,33.4,192,.479335,4.61512,3.508556,5.257495,.5306283
1.127,119,1.9,22.5,164,.1195592,4.779123,3.113515,5.099866,.6418539
.718,120,1.8,21.3,175,-.3312857,4.787492,3.058707,5.164786,.5877866
2.414,122,2.1,17.9,180,.8812851,4.804021,2.884801,5.192957,.7419373
1.13,130,1.8,38.9,176,.1222176,4.867535,3.660994,5.170484,.5877866
.992,138,1.8,20.2,202,-.0080322,4.927254,3.005683,5.308268,.5877866
1.554,149,1.9,22.5,227,.4408323,5.003946,3.113515,5.42495,.6418539
1.225,196,1.9,29.1,186,.2029409,5.278115,3.370738,5.225747,.6418539
1.565,197,2.2,29.1,183,.4478859,5.283204,3.370738,5.209486,.7884574
1.936,209,1.9,22.5,169,.660624,5.342334,3.113515,5.129899,.6418539
3.154,214,1.5,27.5,168,1.148672,5.365976,3.314186,5.123964,.4054651
2.599,220,1.9,22.5,164,.9551268,5.393628,3.113515,5.099866,.6418539
3.298,234,2.2,36.2,164,1.193316,5.455321,3.589059,5.099866,.7884574
2.441,235,2.1,24.4,170,.8924078,5.459586,3.194583,5.135798,.7419373
2.031,253,1.9,22.5,158,.7085282,5.53339,3.113515,5.062595,.6418539
4.666,279,2.1,35.1,177,1.540302,5.631212,3.558201,5.17615,.7419373
1.834,290,1.7,33.4,195,.6064994,5.669881,3.508556,5.273,.5306283
2.072,290,1.8,20.2,176,.7285143,5.669881,3.005683,5.170484,.5877866
2.039,295,1.8,21.3,188,.7124595,5.686975,3.058707,5.236442,.5877866
3.398,299,1.7,26.9,187,1.223187,5.700444,3.292126,5.231109,.5306283
3.083,324,2.1,35.1,152,1.125903,5.780744,3.558201,5.02388,.7419373
2.344,333,2.2,29.1,157,.8518589,5.808143,3.370738,5.056246,.7884574
2.382,338,1.9,24.6,163,.8679405,5.823046,3.202746,5.09375,.6418539
2.657,353,2.2,29.1,143,.9771977,5.866468,3.370738,4.962845,.7884574
1.705,353,2.1,10.7,167,.5335652,5.866468,2.370244,5.117994,.7419373
3.23,416,1.5,26.2,217,1.172482,6.030685,3.265759,5.379897,.4054651
5.049,420,1.5,27.5,144,1.61919,6.040255,3.314186,4.969813,.4054651
3.814,456,2.1,30,178,1.338678,6.122493,3.401197,5.181784,.7419373
4.58,484,1.8,42.8,176,1.521699,6.182085,3.756538,5.170484,.5877866
4.358,516,2.3,23.6,167,1.472013,6.246107,3.161247,5.117994,.8329091
4.714,550,2.1,35.1,158,1.550537,6.309918,3.558201,5.062595,.7419373
4.357,563,2.3,31.9,162,1.471784,6.33328,3.462606,5.087596,.8329091
3.919,566,2.3,33.5,198,1.365837,6.338594,3.511545,5.288267,.8329091
3.442,592,1.9,22.5,164,1.236053,6.383507,3.113515,5.099866,.6418539
4.898,671,2.1,35.1,164,1.588827,6.508769,3.558201,5.099866,.7419373
3.584,696,1.8,10.3,161,1.276479,6.54535,2.332144,5.081404,.5877866
5.535,719,1.7,26.9,174,1.711092,6.577861,3.292126,5.159055,.5306283
4.406,742,2,20.7,157,1.482967,6.609349,3.030134,5.056246,.6931472
4.289,795,2.2,26.5,185,1.456054,6.678342,3.277145,5.220356,.7884574
6.731,800,1.7,26.9,157,1.906724,6.684612,3.292126,5.056246,.5306283
6.895,808,1.7,39.7,203,1.930797,6.694562,3.681351,5.313206,.5306283
5.112,811,2.3,28.5,178,1.631591,6.698268,3.349904,5.181784,.8329091
5.141,855,2,34.3,183,1.637248,6.751101,3.535145,5.209486,.6931472
5.72,860,2.3,33.5,168,1.743969,6.756932,3.511545,5.123964,.8329091
4.691,909,1.5,17.6,196,1.545646,6.812345,2.867899,5.278115,.4054651
6.832,913,1.7,26.9,166,1.921617,6.816736,3.292126,5.111988,.5306283
4.813,924,1.8,10.3,172,1.571321,6.828712,2.332144,5.147494,.5877866
6.754,984,1.7,26.9,158,1.910135,6.891626,3.292126,5.062595,.5306283
5.127,991,2.1,30,174,1.634521,6.898715,3.401197,5.159055,.7419373
6.388,1000,1.6,28.2,225,1.854421,6.907755,3.339322,5.416101,.4700036
4.509,1098,2.1,24.4,168,1.506075,7.001245,3.194583,5.123964,.7419373
7.185,1109,2.1,35.1,177,1.971995,7.011214,3.558201,5.17615,.7419373
6.8,1118,2.3,23.6,161,1.916923,7.019297,3.161247,5.081404,.8329091
7.743,1122,2.2,29.1,162,2.046789,7.022868,3.370738,5.087596,.7884574
7.968,1137,2,20.7,158,2.075433,7.036149,3.030134,5.062595,.6931472
8.858,1156,2.3,33.5,176,2.181321,7.052721,3.511545,5.170484,.8329091
8.588,1166,1.7,26.9,183,2.150366,7.061334,3.292126,5.209486,.5306283
6.449,1170,2.1,35.1,166,1.863925,7.064759,3.558201,5.111988,.7419373
8.488,1215,2.2,29.1,164,2.138653,7.102499,3.370738,5.099866,.7884574
8.877,1279,2,34.3,207,2.183464,7.153834,3.535145,5.332719,.6931472
10.274,1291,2.3,31.9,175,2.329617,7.163172,3.462606,5.164786,.8329091
6.024,1290,1.6,28.2,225,1.795752,7.162397,3.339322,5.416101,.4700036
8.258,1331,2.1,30,178,2.111182,7.193686,3.401197,5.181784,.7419373
13.376,1373,2.2,36.2,157,2.593462,7.224753,3.589059,5.056246,.7884574
10.69,1420,2.2,36.2,138,2.369309,7.258412,3.589059,4.927254,.7884574
8.308,1474,1.9,24.6,163,2.117219,7.295735,3.202746,5.09375,.6418539
6.082,1497,1.8,10.3,168,1.805333,7.311218,2.332144,5.123964,.5877866
9.284,1545,1.8,20.2,158,2.228292,7.342779,3.005683,5.062595,.5877866
10.879,1649,2.3,31.9,177,2.386834,7.407924,3.462606,5.17615,.8329091
8.477,1668,1.8,20.2,170,2.137357,7.419381,3.005683,5.135798,.5877866
6.877,1782,2.1,10.7,183,1.928182,7.485492,2.370244,5.209486,.7419373
15.106,1831,2,35.5,162,2.715092,7.512618,3.569533,5.087596,.6931472
8.031,1833,1.8,10.3,177,2.083309,7.513709,2.332144,5.17615,.5877866
8.082,1838,1.5,17.6,196,2.089639,7.516433,2.867899,5.278115,.4054651
10.866,1787,2.2,26.5,164,2.385639,7.488294,3.277145,5.099866,.7884574
8.596,1918,1.7,12.9,158,2.151297,7.559038,2.557227,5.062595,.5306283
8.673,1930,1.8,22.6,157,2.160215,7.565275,3.11795,5.056246,.5877866
15.437,2028,2.1,24.4,163,2.736767,7.614805,3.194583,5.09375,.7419373
8.211,2057,1.8,10.3,161,2.105475,7.629004,2.332144,5.081404,.5877866
11.982,2084,1.8,21.3,156,2.483406,7.642045,3.058707,5.049856,.5877866
16.674,2226,2,34.3,217,2.813851,7.707962,3.535145,5.379897,.6931472
12.62,2304,2.3,23.6,161,2.535283,7.742402,3.161247,5.081404,.8329091
12.905,2341,2,20.7,183,2.557615,7.758334,3.030134,5.209486,.6931472
11.615,2353,1.7,12.9,167,2.452297,7.763446,2.557227,5.117994,.5306283
9.321,2367,1.8,10.3,161,2.23227,7.769379,2.332144,5.081404,.5877866
12.962,2451,2,20.7,163,2.562022,7.804251,3.030134,5.09375,.6931472
16.932,2457,2.2,36.2,170,2.829205,7.806696,3.589059,5.135798,.7884574
9.648,2507,1.8,10.3,174,2.266751,7.826842,2.332144,5.159055,.5877866
18.35,2530,2.3,33.5,197,2.90963,7.835975,3.511545,5.283204,.8329091
17.333,2576,1.9,22.5,162,2.852612,7.853993,3.113515,5.087596,.6418539
12.015,2607,1.8,10.3,155,2.486156,7.865955,2.332144,5.043425,.5877866
11.32,2870,1.8,10.3,167,2.426571,7.962067,2.332144,5.117994,.5877866
22.337,2993,2.3,33.5,176,3.106245,8.004031,3.511545,5.170484,.8329091
19.035,3202,2.3,23.6,170,2.946279,8.071531,3.161247,5.135798,.8329091
12.205,3286,1.6,17.8,183,2.501846,8.097426,2.879198,5.209486,.4700036
17.078,3312,1.7,28.8,190,2.837791,8.105308,3.360375,5.247024,.5306283
25.528,3498,2.1,30,170,3.239776,8.159946,3.401197,5.135798,.7419373
24.021,3538,2.1,30,176,3.178928,8.171317,3.401197,5.170484,.7419373
32.197,3794,2.1,35.1,159,3.471873,8.241177,3.558201,5.068904,.7419373
26.652,3841,2.3,28.5,157,3.282864,8.253488,3.349904,5.056246,.8329091
20.164,4014,2.1,24.4,161,3.003899,8.297544,3.194583,5.081404,.7419373
14.132,4217,1.5,18.1,172,2.648442,8.346879,2.895912,5.147494,.4054651
21.41,4305,2.1,24.4,203,3.063858,8.367533,3.194583,5.313206,.7419373
23.244,4494,2,20.7,167,3.146047,8.410499,3.030134,5.117994,.6931472
29.845,4764,2.2,29.1,195,3.396017,8.468843,3.370738,5.273,.7884574
32.318,5277,1.9,29.1,161,3.475624,8.571113,3.370738,5.081404,.6418539
21.988,5283,2,20.7,159,3.090497,8.572249,3.030134,5.068904,.6931472
35.229,5668,2.1,24.4,177,3.56187,8.642591,3.194583,5.17615,.7419373
17.467,5681,1.8,10.3,157,2.860313,8.644882,2.332144,5.056246,.5877866
22.828,5819,1.8,18.5,196,3.127988,8.668883,2.917771,5.278115,.5877866
33.154,6000,2.1,24.4,183,3.501163,8.699514,3.194583,5.209486,.7419373
32.228,6119,1.5,26.2,189,3.472836,8.719154,3.265759,5.241747,.4054651
34.168,6136,1.9,22.5,160,3.53129,8.721929,3.113515,5.075174,.6418539
40.594,7193,2.1,28.6,162,3.70362,8.880863,3.353407,5.087596,.7419373
33.354,7886,1.6,17.8,178,3.507178,8.972844,2.879198,5.181784,.4700036
64.542,8419,2.3,31.9,199,4.167316,9.038246,3.462606,5.293305,.8329091
41.238,8642,2.2,26.5,182,3.71936,9.064389,3.277145,5.204007,.7884574
47.993,8787,2.3,33.5,190,3.871055,9.081029,3.511545,5.247024,.8329091
69.878,9484,2.1,24.4,165,4.246751,9.157361,3.194583,5.105946,.7419373
44.894,9956,1.7,28.8,203,3.804304,9.205931,3.360375,5.313206,.5306283
67.12,11477,2.2,26.5,151,4.206482,9.348101,3.277145,5.01728,.7884574
73.05,11796,2.1,28.6,148,4.291144,9.375516,3.353407,4.997212,.7419373
139.422,14359,2.3,33.5,212,4.937505,9.572132,3.511545,5.356586,.8329091
119.939,16719,2.3,23.6,162,4.786983,9.724301,3.161247,5.087596,.8329091
